"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes"
"Kcnq1ot1",933.775261326972,0.382547728113037,0.0999689707685472,3.82666466576644,0.000129891270598092,0.00484272256894335,"Kcnq1ot1"
"Tmem86a",58.8790788845996,0.527101969534781,0.137963882057058,3.82057942756922,0.000133138519134898,0.00493134632638868,"Tmem86a"
"Magt1",89.0338949648907,0.358017794362998,0.0938101479075607,3.81640795104368,0.000135408557657161,0.00496298652351895,"Magt1"
"Tnfrsf1b",832.230317241337,-0.436908718283053,0.114500002123302,-3.81579659546693,0.00013574429347899,0.00496298652351895,"Tnfrsf1b"
"Hmgcr",94.2126590769104,-0.382711652049211,0.100756640166525,-3.79837647838084,0.000145646981922937,0.00529090670870052,"Hmgcr"
"Serpinb2",183.16924038349,-0.59128402593889,0.155757446008996,-3.79618465177414,0.000146940068467517,0.00530388132487529,"Serpinb2"
"Cyb5r1",42.902230365335,0.49918000067588,0.131718024176278,3.78976228802087,0.000150791516911668,0.00540845269834446,"Cyb5r1"
"Marcksl1",193.635273498753,-0.587589086288843,0.15539244404095,-3.78132340935444,0.000155996859877027,0.00555996355297556,"Marcksl1"
"Procr",88.8271298490141,-0.469668195141632,0.124268232429671,-3.77947111630029,0.000157161821860579,0.00556647527802439,"Procr"
"Glul",93.4784029339646,-0.410879449005698,0.108912204414922,-3.77257490299593,0.000161571438599106,0.00568711392882693,"Glul"
"Mfsd11",52.7454511570851,0.510692607693658,0.135574303517401,3.76688350553178,0.000165298083869974,0.00574689718583523,"Mfsd11"
"Cybasc3",146.105880943496,-0.421702030594682,0.111907473733974,-3.76830980562701,0.000164356642767042,0.00574689718583523,"Cybasc3"
"Cldn1",28.0175810094844,-0.650893356330668,0.172905543029219,-3.76444470736646,0.000166919596562128,0.00576788630315596,"Cldn1"
"Klf6",572.074138238871,-0.365985030925414,0.0973619458083253,-3.75901516641751,0.000170583498237325,0.00585876778491466,"Klf6"
"Acaa1a",278.215105496729,-0.220399467064738,0.0586620870267174,-3.75710238478829,0.000171892181618726,0.00586815056164652,"Acaa1a"
"Samsn1",168.460012943927,-0.346657952776942,0.0923608413986371,-3.75330007314179,0.000174521732051483,0.00592224344632187,"Samsn1"
"Slc25a25",71.8944046367591,-0.446157014823891,0.119008876710241,-3.74893896284878,0.000177584295044352,0.0059902988096211,"Slc25a25"
"Uqcrc1",566.698445471602,-0.224509911944075,0.0600899328401805,-3.73623170026163,0.000186798558337589,0.00626383094733206,"Uqcrc1"
"Itm2c",205.372670426644,0.324300812407666,0.0869785036408983,3.72851680395173,0.000192610067330467,0.00638316521381145,"Itm2c"
"Ptpre",264.538421691807,-0.345446016509266,0.0926363071372871,-3.72905642705851,0.000192198113938612,0.00638316521381145,"Ptpre"
"Dazap2",593.594136673354,-0.197066520354321,0.0530682913924974,-3.71345138845344,0.000204451751149114,0.00673620973117458,"Dazap2"
"Soat1",473.951138978434,0.243111866117611,0.0654960660963064,3.7118544762694,0.000205746272827036,0.00673967704110297,"Soat1"
"Slc29a3",66.3737178620905,0.38577952047292,0.10409921174613,3.70588320508838,0.000210655363232652,0.00686082726114619,"Slc29a3"
"Fdft1",38.9475905119877,-0.54535955850626,0.148278389215852,-3.67794363959788,0.000235121894852191,0.00761391873215637,"Fdft1"
"Aldoa",2298.92923311073,-0.236469396130034,0.064682003327419,-3.65587619376956,0.00025630503866032,0.00825273098913654,"Aldoa"
"Gm17644",60.4183294274614,0.532132039943168,0.145633785011884,3.65390516973615,0.000258281694013113,0.00826939186425034,"Gm17644"
"Gpi1",641.2111938158,-0.272002622913842,0.0745256553590909,-3.64978505191584,0.000262459841883026,0.00835595462893882,"Gpi1"
"Peli1",120.534677508972,-0.400651712290827,0.109865766739557,-3.64673841707757,0.000265590050005777,0.00840837325912143,"Peli1"
"Ostc",164.531788253491,0.394398517048138,0.108530083355225,3.63400178876902,0.000279058924877289,0.0087857051515533,"Ostc"
"Tarm1",83.849704800637,-0.45482164867881,0.125262470274849,-3.63094905984886,0.00028238092060783,0.00879694015095794,"Tarm1"
"Sod2",699.506991766735,-0.403985245175497,0.111308875181477,-3.62940730931691,0.000284072710009759,0.00879694015095794,"Sod2"
"Glrx",365.122706699114,-0.317284483613123,0.0874069797435167,-3.62996736123532,0.000283457060083537,0.00879694015095794,"Glrx"
"Fbxo30",89.6670542111563,-0.426930704426064,0.117744950498319,-3.62589395654942,0.000287963516301235,0.00882102295610323,"Fbxo30"
